t,scenario,prob.mean,measurement,prob.sigma
0.32,scn1,C,0.209302326,0.109302326
0.65,scn1,C,0.465116279,0.174418605
0.92,scn1,C,0.653488372,0.181395349
1,scn1,C,0.720930233,0.162790698
1.17,scn1,C,0.772093023,0.155813953
1.33,scn1,C,0.779069767,0.151162791
1.5,scn1,C,0.753488372,0.134883721
1.75,scn1,C,0.872093023,0.148837209
1.83,scn1,C,0.865116279,0.120930233
2,scn1,C,0.827906977,0.097674419
2.17,scn1,C,0.772093023,0.106976744
2.32,scn1,C,0.720930233,0.090697674
2.58,scn1,C,0.665116279,0.088372093
3,scn1,C,0.593023256,0.088372093
3.5,scn1,C,0.495348837,0.086046512
4,scn1,C,0.409302326,0.093023256
4.5,scn1,C,0.327906977,0.088372093
5,scn1,C,0.241860465,0.097674419
5.5,scn1,C,0.153488372,0.093023256
6,scn1,C,0.088372093,0.081395349
6.5,scn1,C,0.041860465,0.06744186
7,scn1,C,0.018604651,0.037209302
7.5,scn1,C,0.006976744,0.020930233

0.32,scn2,C,0.209302326,0.109302326
0.65,scn2,C,0.465116279,0.174418605
0.92,scn2,C,0.653488372,0.181395349
1,scn2,C,0.720930233,0.162790698
1.17,scn2,C,0.772093023,0.155813953
1.33,scn2,C,0.779069767,0.151162791
1.5,scn2,C,0.753488372,0.134883721
1.75,scn2,C,0.872093023,0.148837209
1.83,scn2,C,0.865116279,0.120930233
2,scn2,C,0.827906977,0.097674419
2.17,scn2,C,0.772093023,0.106976744
2.32,scn2,C,0.720930233,0.090697674
2.58,scn2,C,0.665116279,0.088372093
3,scn2,C,0.593023256,0.088372093
3.5,scn2,C,0.495348837,0.086046512
4,scn2,C,0.409302326,0.093023256
4.5,scn2,C,0.327906977,0.088372093
5,scn2,C,0.241860465,0.097674419
5.5,scn2,C,0.153488372,0.093023256
6,scn2,C,0.088372093,0.081395349
6.5,scn2,C,0.041860465,0.06744186
7,scn2,C,0.018604651,0.037209302
7.5,scn2,C,0.006976744,0.020930233

0.32,scn3,C,0.209302326,0.109302326
0.65,scn3,C,0.465116279,0.174418605
0.92,scn3,C,0.653488372,0.181395349
1,scn3,C,0.720930233,0.162790698
1.17,scn3,C,0.772093023,0.155813953
1.33,scn3,C,0.779069767,0.151162791
1.5,scn3,C,0.753488372,0.134883721
1.75,scn3,C,0.872093023,0.148837209
1.83,scn3,C,0.865116279,0.120930233
2,scn3,C,0.827906977,0.097674419
2.17,scn3,C,0.772093023,0.106976744
2.32,scn3,C,0.720930233,0.090697674
2.58,scn3,C,0.665116279,0.088372093
3,scn3,C,0.593023256,0.088372093
3.5,scn3,C,0.495348837,0.086046512
4,scn3,C,0.409302326,0.093023256
4.5,scn3,C,0.327906977,0.088372093
5,scn3,C,0.241860465,0.097674419
5.5,scn3,C,0.153488372,0.093023256
6,scn3,C,0.088372093,0.081395349
6.5,scn3,C,0.041860465,0.06744186
7,scn3,C,0.018604651,0.037209302
7.5,scn3,C,0.006976744,0.020930233